run_id,run_name,label,include_in_main,selected_step,step,val_ema_ssim,val_ema_psnr,val_ema_mse
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,10000,0.7076373815536499,14.780872344970703,0.03198848739266395
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,20000,0.7474390745162964,16.686712074279786,0.020407418720424175
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,30000,0.7689255714416504,17.83379383087158,0.015507875755429269
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,40000,0.7706513643264771,17.86341381072998,0.015574511513113976
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,50000,0.776691472530365,17.91364574432373,0.01545108761638403
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,60000,0.7857448697090149,18.06323299407959,0.015132882073521614
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,70000,0.789977240562439,18.129057121276855,0.014831499010324479
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,80000,0.792275893688202,18.129987907409667,0.014865436777472495
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,90000,0.7959648013114929,18.16989631652832,0.01462205071002245
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,100000,0.8002997994422912,18.304924774169923,0.014117141626775265
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,110000,0.8021818637847901,18.36418342590332,0.013812270946800709
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,120000,0.8045484066009522,18.47310905456543,0.013343351520597934
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,130000,0.8050376534461975,18.53299026489258,0.013116495497524739
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,140000,0.8052243232727051,18.59595184326172,0.012861575931310654
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,150000,0.8054499506950379,18.628141784667967,0.012734126858413219
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,160000,0.8053948283195496,18.633870315551757,0.012687534093856812
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,170000,0.8056676864624024,18.650072479248045,0.012627086974680424
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,180000,0.8053977370262146,18.65229263305664,0.012606851942837238
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,190000,0.8050014972686768,18.639279556274413,0.012630224972963334
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,210000,0.8038105130195617,18.61202049255371,0.012703719176352024
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,220000,0.8026280045509339,18.59281806945801,0.012749159522354604
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,230000,0.8022313952445984,18.575788497924805,0.012798133492469787
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,240000,0.8016456961631775,18.563306427001955,0.012827197648584842
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,250000,0.8011584043502807,18.559360885620116,0.0128328837454319
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,260000,0.8006643056869507,18.55179328918457,0.012849010154604911
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,270000,0.8000349521636962,18.544453430175782,0.012864772975444794
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,280000,0.7993971228599548,18.5379337310791,0.012876318767666817
k2ggacgo,paper300k-concat-fixed-s0,Concat-fixed,true,180000,290000,0.7989195346832275,18.53262062072754,0.012887288257479668
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,10000,0.6823734641075134,14.121501541137695,0.03696106635034084
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,20000,0.7368871331214905,15.958779525756835,0.024957718327641487
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,30000,0.7572467207908631,16.473781394958497,0.02134661078453064
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,40000,0.7540172934532166,16.37573661804199,0.02207380011677742
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,50000,0.7519899606704712,16.5566312789917,0.021250379085540772
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,60000,0.7551949739456176,16.777006530761717,0.021052337437868118
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,70000,0.7697247385978698,17.353309059143065,0.018716123327612876
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,80000,0.7773880243301392,17.696031761169433,0.01762807071208954
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,90000,0.7799699306488037,17.866680908203126,0.01718914248049259
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,100000,0.7811999678611755,18.011782836914062,0.016250781156122683
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,110000,0.7888135790824891,18.17723388671875,0.015355083905160428
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,120000,0.7876186370849609,18.108530235290527,0.015609073173254728
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,130000,0.7910584807395935,18.170135307312012,0.014985144510865212
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,140000,0.796205484867096,18.29476833343506,0.014462398737668991
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,150000,0.7960771560668946,18.246316528320314,0.014629627577960491
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,160000,0.7979938507080078,18.33277072906494,0.0142102743498981
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,170000,0.7955520987510681,18.229740333557128,0.01464462662115693
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,180000,0.799107038974762,18.324006652832033,0.014152608253061772
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,190000,0.8000791311264038,18.35884647369385,0.014064131397753954
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,200000,0.8000882148742676,18.290196037292482,0.01425790712237358
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,210000,0.8005529522895813,18.294530868530273,0.014195960573852062
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,220000,0.7994039535522461,18.23700656890869,0.014380301069468259
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,230000,0.8003951907157898,18.27605495452881,0.014279337227344513
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,240000,0.8012570261955261,18.313959693908693,0.014190984703600407
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,250000,0.8017753958702087,18.339422607421874,0.014102298766374588
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,260000,0.8020777463912964,18.364520645141603,0.014051620475947857
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,270000,0.8019927978515625,18.37488555908203,0.014005749020725489
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,280000,0.8040468335151673,18.462160873413087,0.013723335787653923
07pbr0dp,paper300k-concat-random-s0,Concat-random,true,290000,290000,0.8041518330574036,18.4655553817749,0.013708785921335221
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,10000,0.7107548117637634,14.225537109375,0.03529703877866268
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,20000,0.7409252166748047,15.577842903137206,0.02582392506301403
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,30000,0.7588394045829773,16.58430709838867,0.02117048278450966
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,40000,0.7640628695487977,17.038288497924803,0.01883095595985651
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,50000,0.7654470324516296,17.408820343017577,0.018362207524478435
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,60000,0.7739023208618164,17.749815940856934,0.017371358815580606
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,70000,0.7881894826889038,18.248449516296386,0.015446747932583094
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,80000,0.8000729441642761,18.58724365234375,0.01384370643645525
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,90000,0.8022092580795288,18.629123878479003,0.01358410706743598
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,100000,0.7998238325119018,18.625922203063965,0.013738275598734617
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,110000,0.7997442245483398,18.53312129974365,0.014125164691358804
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,120000,0.8007869720458984,18.545165634155275,0.013983890414237976
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,130000,0.801550817489624,18.54000587463379,0.013785895984619856
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,140000,0.8052481889724732,18.58028335571289,0.013588659185916185
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,150000,0.8070250391960144,18.642676734924315,0.013217191770672798
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,160000,0.8064217805862427,18.73801956176758,0.013000406883656978
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,170000,0.8115123391151429,18.880812454223634,0.012386049330234527
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,180000,0.8118208765983581,18.886215591430663,0.012434906885027885
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,190000,0.8150210738182068,19.013231658935545,0.012101011257618666
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,200000,0.8173077583312989,19.02221260070801,0.011958783585578203
3f0kbnp7,paper300k-concat-weighted-s0,Concat-weighted,true,200000,210000,0.814739441871643,18.89872055053711,0.012244478799402714
