arm,configuration,case,ssim,psnr,mse
fixed,mean_n5,BraTS-GLI-01302-000,0.9148082137107849,19.72635841369629,0.01065035630017519
fixed,mean_n5,BraTS-GLI-00186-000,0.8376582264900208,16.348464965820312,0.014069591648876667
fixed,mean_n5,BraTS-GLI-01266-000,0.6292413473129272,18.242446899414062,0.014988391660153866
fixed,mean_n5,BraTS-GLI-00085-000,0.775754988193512,20.231731414794922,0.009258444420993328
fixed,mean_n5,BraTS-GLI-00386-000,0.7454742193222046,19.801036834716797,0.0073989322409033775
fixed,mean_n5,BraTS-GLI-01122-000,0.6604419350624084,15.794074058532715,0.026338588446378708
fixed,mean_n5,BraTS-GLI-00204-000,0.47812193632125854,14.849967002868652,0.03273431956768036
fixed,mean_n5,BraTS-GLI-01110-000,0.5580368041992188,15.725592613220215,0.026757199317216873
fixed,mean_n5,BraTS-GLI-01171-000,0.8710620403289795,20.3878116607666,0.009145737625658512
fixed,mean_n5,BraTS-GLI-01490-000,0.7924773097038269,17.82965087890625,0.016482939943671227
fixed,mean_n5,BraTS-GLI-00432-000,0.9580585956573486,22.185258865356445,0.005241659935563803
fixed,mean_n5,BraTS-GLI-01328-000,0.7270851135253906,17.084815979003906,0.01956673339009285
fixed,mean_n5,BraTS-GLI-00694-001,0.5909651517868042,17.56285858154297,0.0175272636115551
fixed,mean_n5,BraTS-GLI-01162-000,0.6898276209831238,19.924137115478516,0.009972859174013138
fixed,mean_n5,BraTS-GLI-01236-000,0.9591904878616333,21.67987823486328,0.006792223546653986
fixed,mean_n5,BraTS-GLI-01306-000,0.696785032749176,14.80759334564209,0.01861710473895073
fixed,mean_n5,BraTS-GLI-01208-000,0.6287816762924194,17.282461166381836,0.012788250111043453
fixed,mean_n5,BraTS-GLI-00273-000,0.5363936424255371,18.162687301635742,0.015266207046806812
fixed,mean_n5,BraTS-GLI-01018-000,0.5643084049224854,17.44076919555664,0.018026981502771378
fixed,mean_n5,BraTS-GLI-00400-000,0.6625953316688538,19.461376190185547,0.00981281790882349
fixed,mean_n5,BraTS-GLI-00613-000,0.5251296758651733,17.27994728088379,0.018707042559981346
fixed,mean_n5,BraTS-GLI-00241-000,0.5686847567558289,16.864009857177734,0.020587274804711342
fixed,mean_n5,BraTS-GLI-00504-000,0.8663833737373352,18.750656127929688,0.006728386040776968
fixed,mean_n5,BraTS-GLI-00608-000,0.6701355576515198,18.947507858276367,0.012742343358695507
fixed,median_n5,BraTS-GLI-00071-000,0.8354626297950745,18.099523544311523,0.015489856712520123
fixed,median_n5,BraTS-GLI-01302-000,0.914804220199585,19.726436614990234,0.01065016258507967
fixed,median_n5,BraTS-GLI-00186-000,0.8376662731170654,16.348548889160156,0.014069313183426857
fixed,median_n5,BraTS-GLI-01266-000,0.629230260848999,18.24219512939453,0.01498926430940628
fixed,median_n5,BraTS-GLI-00085-000,0.7757542133331299,20.231857299804688,0.009258178994059563
fixed,median_n5,BraTS-GLI-00386-000,0.7454758882522583,19.801044464111328,0.0073989215306937695
fixed,median_n5,BraTS-GLI-01122-000,0.6604503989219666,15.79415225982666,0.026338115334510803
fixed,median_n5,BraTS-GLI-00204-000,0.4781094491481781,14.84988784790039,0.032734911888837814
fixed,median_n5,BraTS-GLI-01110-000,0.5580375790596008,15.725584983825684,0.026757247745990753
fixed,median_n5,BraTS-GLI-01171-000,0.8710619211196899,20.387821197509766,0.009145718067884445
fixed,median_n5,BraTS-GLI-01490-000,0.7924823760986328,17.829931259155273,0.016481885686516762
fixed,median_n5,BraTS-GLI-00432-000,0.9580621123313904,22.1854190826416,0.005241465754806995
fixed,median_n5,BraTS-GLI-01328-000,0.727076530456543,17.084760665893555,0.019566982984542847
fixed,median_n5,BraTS-GLI-00694-001,0.5909755825996399,17.562847137451172,0.017527300864458084
fixed,median_n5,BraTS-GLI-01162-000,0.689826488494873,19.924158096313477,0.009972815401852131
fixed,median_n5,BraTS-GLI-01236-000,0.9591959118843079,21.679523468017578,0.006792778614908457
fixed,median_n5,BraTS-GLI-01306-000,0.6967685222625732,14.807450294494629,0.018617717549204826
fixed,median_n5,BraTS-GLI-01208-000,0.6287744045257568,17.282493591308594,0.012788151390850544
fixed,median_n5,BraTS-GLI-00273-000,0.5364090204238892,18.162633895874023,0.015266397036612034
