run_id,run_name,label,include_in_main,step,val_ema_ssim,val_ema_psnr,val_ema_mse
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,5000,0.6710290431976318,11.756464958190918,0.06967932358384132
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,10000,0.7075181722640991,14.774678802490234,0.03202643357217312
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,15000,0.7283515453338623,15.807125473022461,0.025356969423592092
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,20000,0.7477367639541626,16.690322494506837,0.02031314242631197
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,25000,0.763206136226654,17.543170928955078,0.016566226631402968
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,30000,0.76863933801651,17.808775901794434,0.015579391829669475
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,35000,0.7700474262237549,17.83901195526123,0.015541901998221874
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,40000,0.7710922002792359,17.86773853302002,0.015528254397213458
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,45000,0.773122501373291,17.855062675476074,0.015536723285913467
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,50000,0.777554202079773,17.947363471984865,0.015300386399030686
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,55000,0.7822900533676147,18.0694938659668,0.014848308637738228
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,60000,0.7866714596748352,18.156879043579103,0.01457512229681015
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,65000,0.7877861261367798,18.116793060302733,0.014819993823766708
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,70000,0.7901186108589172,18.12679100036621,0.014755152724683284
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,75000,0.7912057161331176,18.073352432250978,0.015008501335978508
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,80000,0.791864550113678,18.068611907958985,0.015093272179365158
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,85000,0.7928970098495484,18.063125610351562,0.015097587183117867
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,90000,0.7942533731460572,18.090155792236327,0.015001305751502514
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,95000,0.7960045218467713,18.146641540527344,0.014829752966761589
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,100000,0.7968082070350647,18.20103874206543,0.01454127561300993
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,105000,0.7974248409271241,18.23557777404785,0.014327143132686616
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,110000,0.7980486392974854,18.265242767333984,0.014185523614287376
c2a3ihw5,abl-nearestsigned-corrected-s0,Concat-fixed,true,115000,0.7993122100830078,18.325526809692384,0.013912246748805045
