case,random_ssim,weighted_ssim,delta_ssim_weighted_minus_random,random_psnr,weighted_psnr,delta_psnr_db_weighted_minus_random,random_mse,weighted_mse,mse_reduction_random_minus_weighted,all_metric_outcome
BraTS-GLI-00017-001,0.5597420334815979,0.6105629801750183,0.05082094669342041,15.58155632019043,16.948637008666992,1.3670806884765625,0.027659492567181587,0.02018999494612217,0.007469497621059418,weighted_wins_all
BraTS-GLI-00044-000,0.9360969066619873,0.9512732625007629,0.015176355838775635,17.201494216918945,18.314504623413086,1.1130104064941406,0.019048046320676804,0.014741763472557068,0.004306282848119736,weighted_wins_all
BraTS-GLI-00045-000,0.7031829357147217,0.6633448600769043,-0.03983807563781738,19.678651809692383,20.62574005126953,0.9470882415771484,0.010767996311187744,0.008658166043460369,0.002109830267727375,mixed
BraTS-GLI-00046-000,0.7429046630859375,0.7774185538291931,0.034513890743255615,19.347789764404297,19.727224349975586,0.37943458557128906,0.01162040140479803,0.010648231953382492,0.0009721694514155388,weighted_wins_all
BraTS-GLI-00087-001,0.6064738035202026,0.6392050981521606,0.03273129463195801,17.36407470703125,17.69302749633789,0.3289527893066406,0.01834815740585327,0.017009718343615532,0.0013384390622377396,weighted_wins_all
BraTS-GLI-00100-000,0.644005537033081,0.6357628703117371,-0.008242666721343994,18.621000289916992,18.591127395629883,-0.029872894287109375,0.013737251982092857,0.013832070864737034,-9.481888264417648e-05,random_wins_all
BraTS-GLI-00194-000,0.9010754823684692,0.8973579406738281,-0.0037175416946411133,15.754328727722168,14.927234649658203,-0.8270940780639648,0.008250538259744644,0.00996327493339777,-0.0017127366736531258,random_wins_all
BraTS-GLI-00236-000,0.6570417284965515,0.6903038620948792,0.03326213359832764,18.264680862426758,19.808319091796875,1.5436382293701172,0.01491185836493969,0.010451242327690125,0.004460616037249565,weighted_wins_all
BraTS-GLI-00243-000,0.9837843179702759,0.9833522439002991,-0.00043207406997680664,16.273086547851562,15.326539993286133,-0.9465465545654297,0.0013438825262710452,0.0016710498603060842,-0.00032716733403503895,random_wins_all
BraTS-GLI-00249-000,0.7539964318275452,0.7428736686706543,-0.01112276315689087,19.440265655517578,19.287622451782227,-0.15264320373535156,0.01137557439506054,0.011782506480813026,-0.0004069320857524872,random_wins_all
