metric,first_pipeline,second_pipeline,contrast,direction,mean_improvement,bootstrap_ci_low,bootstrap_ci_high,bootstrap_samples,bootstrap_seed,wins,ties,losses,effect_size_dz,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm_within_metric
ssim,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.02231105923652649,0.01296500563621521,0.031572805861632025,100000,2026,53,0,22,0.5388999073659628,634.0,2.9548232077037494e-05,2.9548232077037494e-05
ssim,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,0.04106155196825663,0.03239573632677396,0.05002542853355407,100000,2026,66,0,9,1.0522847769599544,129.0,7.722649243082716e-12,2.3167947729248147e-11
ssim,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.018750492731730142,0.01273308515548706,0.024889359017213186,100000,2026,54,0,21,0.6992467953689538,486.0,7.106043702570131e-07,1.4212087405140262e-06
psnr,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.3919870122273763,0.02802579911549886,0.7429435027440386,100000,2026,49,0,26,0.24687892258468966,959.0,0.013865100673075474,0.013865100673075474
psnr,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,1.3397811508178712,1.0779661060969035,1.6080562613805134,100000,2026,66,0,9,1.1380522689017813,115.0,4.595879546821081e-12,1.3787638640463245e-11
psnr,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.9477941385904948,0.655919308344523,1.264882962544759,100000,2026,57,0,18,0.7033697929073639,390.0,4.6192582626453624e-08,9.238516525290725e-08
mse,fixed,random,Random augmentation vs Fixed mask,Fixed mask minus Random augmentation (MSE reduction),0.0011291839034917454,0.00013898591254837812,0.0021213901348334425,100000,2026,49,0,26,0.257357790124146,976.0,0.01774147065881106,0.01774147065881106
mse,fixed,weighted,Weighted mixture vs Fixed mask,Fixed mask minus Weighted mixture (MSE reduction),0.0037706673347080747,0.00288240012464424,0.004745531365508214,100000,2026,66,0,9,0.9103036335028111,105.0,3.1618718280411574e-12,9.485615484123472e-12
mse,random,weighted,Weighted mixture vs Random augmentation,Random augmentation minus Weighted mixture (MSE reduction),0.002641483431216329,0.0018777751691328982,0.0034472061439688928,100000,2026,57,0,18,0.7621289065630147,360.0,1.868094816351734e-08,3.736189632703468e-08
