metric,first_pipeline,second_pipeline,contrast,direction,mean_improvement,bootstrap_ci_low,bootstrap_ci_high,bootstrap_samples,bootstrap_seed,wins,ties,losses,effect_size_dz,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm_within_metric
ssim,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.02082768687978387,0.010517582925967873,0.03106177139561623,100000,2026,44,0,20,0.4952695584849011,504.0,0.00033772130370354926,0.00033772130370354926
ssim,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,0.03981346124783158,0.03033285291166976,0.04959606837946921,100000,2026,55,0,9,1.0079413617274438,119.0,7.311711441750797e-10,2.193513432525239e-09
ssim,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.018985774368047714,0.012699101818725467,0.025356182525865727,100000,2026,45,0,19,0.7259943894374203,346.0,3.4651194410982408e-06,6.9302388821964815e-06
psnr,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.4009418487548828,-0.010023771226406089,0.7956395238637923,100000,2026,42,0,22,0.24204985338264753,704.0,0.02463992613945145,0.02463992613945145
psnr,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,1.3388670980930328,1.04544198513031,1.6398992192000146,100000,2026,56,0,8,1.0985854227968936,95.0,2.6208523145230057e-10,7.862556943569017e-10
psnr,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.93792524933815,0.6131344430148602,1.2938296329230068,100000,2026,47,0,17,0.6686620500946241,306.0,9.171554899580113e-07,1.8343109799160226e-06
mse,fixed,random,Random augmentation vs Fixed mask,Fixed mask minus Random augmentation (MSE reduction),0.0011007968541889568,8.285201333819715e-05,0.00210923401459695,100000,2026,42,0,22,0.2658108255052056,700.0,0.022980925871764347,0.022980925871764347
mse,fixed,weighted,Weighted mixture vs Fixed mask,Fixed mask minus Weighted mixture (MSE reduction),0.003544388806403731,0.0026423881542541497,0.0045378795085525775,100000,2026,56,0,8,0.9127752117877235,87.0,1.8513389485600405e-10,5.554016845680122e-10
mse,random,weighted,Weighted mixture vs Random augmentation,Random augmentation minus Weighted mixture (MSE reduction),0.002443591952214774,0.0016743261918918506,0.0032620130956729555,100000,2026,47,0,17,0.7507400703031611,282.0,3.996412240033886e-07,7.992824480067772e-07
