case,ssim,psnr,mse,mae,msle,psnr_01,psnr_01_eps,psnr_eps,rmse
BraTS-GLI-00017-001,0.5002853870391846,13.96958065032959,0.04009053856134415,0.13264699280261993,0.01938566192984581,13.96958065032959,13.969581604003906,13.969581604003906,0.20022621750831604
BraTS-GLI-00044-000,0.9455752372741699,17.899703979492188,0.016219208016991615,0.06729039549827576,0.007698314264416695,17.899703979492188,17.899703979492188,17.899703979492188,0.12735465168952942
BraTS-GLI-00045-000,0.6415045261383057,18.87440299987793,0.012958645820617676,0.07185447961091995,0.00582999037578702,18.87440299987793,18.87440299987793,18.87440299987793,0.11383605003356934
BraTS-GLI-00046-000,0.7355050444602966,18.863998413085938,0.012989724054932594,0.06657817214727402,0.005180387757718563,18.863998413085938,18.86400032043457,18.86400032043457,0.11397247016429901
BraTS-GLI-00087-001,0.5999963879585266,16.639806747436523,0.021677998825907707,0.10710208117961884,0.0077278646640479565,16.639806747436523,16.639808654785156,16.639808654785156,0.1472344994544983
BraTS-GLI-00100-000,0.5929508805274963,18.273828506469727,0.014880487695336342,0.07671286910772324,0.006856154650449753,18.273828506469727,18.273828506469727,18.273828506469727,0.12198560684919357
BraTS-GLI-00194-000,0.8996182680130005,15.272878646850586,0.00917853508144617,0.07615099847316742,0.0037011748645454645,20.372264862060547,20.37226676940918,15.27061653137207,0.09580466896295547
BraTS-GLI-00236-000,0.6091492176055908,18.590911865234375,0.013832755386829376,0.08763602375984192,0.005324910394847393,18.590911865234375,18.590911865234375,18.590911865234375,0.11761273443698883
BraTS-GLI-00243-000,0.978988528251648,14.406587600708008,0.002065306529402733,0.03486870974302292,0.0005589738138951361,26.85015296936035,26.850154876708984,14.406587600708008,0.04544564336538315
BraTS-GLI-00249-000,0.7125000357627869,18.370689392089844,0.014552276581525803,0.09150099009275436,0.00552974920719862,18.370689392089844,18.370689392089844,18.370689392089844,0.12063281983137131
BraTS-GLI-00269-000,0.576485812664032,15.64866828918457,0.027235353365540504,0.11515107750892639,0.013775300234556198,15.64866828918457,15.648670196533203,15.648670196533203,0.16503137350082397
BraTS-GLI-00282-000,0.533474326133728,18.310325622558594,0.01475596148520708,0.09104589372873306,0.005773833021521568,18.310325622558594,18.310325622558594,18.310325622558594,0.12147411704063416
BraTS-GLI-00283-000,0.8667703866958618,21.007333755493164,0.0024926913902163506,0.03935901075601578,0.000878905993886292,26.033313751220703,26.033315658569336,21.00733184814453,0.04992686212062836
BraTS-GLI-00306-000,0.4554215967655182,14.764827728271484,0.03338237106800079,0.12804675102233887,0.014796650968492031,14.764827728271484,14.7648286819458,14.7648286819458,0.18270842730998993
BraTS-GLI-00340-000,0.5319191217422485,17.7840633392334,0.01665687747299671,0.09126636385917664,0.007111403625458479,17.7840633392334,17.7840633392334,17.7840633392334,0.1290615200996399
BraTS-GLI-00377-000,0.8108587265014648,19.64917755126953,0.00709425937384367,0.054445505142211914,0.002257242100313306,21.49092674255371,21.490928649902344,19.649179458618164,0.08422742784023285
BraTS-GLI-00395-000,0.6568502187728882,17.68967056274414,0.0170228723436594,0.0932157039642334,0.006489954888820648,17.68967056274414,17.68967056274414,17.68967056274414,0.13047173619270325
BraTS-GLI-00402-000,0.6156864762306213,18.991304397583008,0.012614487670361996,0.07782764732837677,0.0050170402973890305,18.991304397583008,18.991302490234375,18.991302490234375,0.11231423914432526
BraTS-GLI-00407-000,0.4934667646884918,15.495245933532715,0.028214693069458008,0.11605338007211685,0.011161893606185913,15.495245933532715,15.495246887207031,15.495246887207031,0.16797229647636414
BraTS-GLI-00433-000,0.5937003493309021,18.888132095336914,0.011880607344210148,0.07670901715755463,0.004820613190531731,19.25161361694336,19.25161361694336,18.888134002685547,0.10899820178747177
BraTS-GLI-00445-000,0.9645209312438965,17.08110237121582,0.005030919797718525,0.05593803524971008,0.001614306471310556,22.983524322509766,22.98352813720703,17.081104278564453,0.07092897593975067
BraTS-GLI-00456-000,0.6023141741752625,17.252723693847656,0.018824677914381027,0.07550853490829468,0.009747486561536789,17.252723693847656,17.252723693847656,17.252723693847656,0.13720305263996124
BraTS-GLI-00493-000,0.911862313747406,17.954544067382812,0.005389731377363205,0.05847195163369179,0.0016970206052064896,22.684328079223633,22.684328079223633,17.95454216003418,0.07341478765010834
BraTS-GLI-00494-001,0.7696422338485718,17.45864486694336,0.0179529320448637,0.10048065334558487,0.00849913153797388,17.45864486694336,17.458646774291992,17.458646774291992,0.13398855924606323
BraTS-GLI-00512-000,0.7610805034637451,17.771759033203125,0.012541075237095356,0.08327651023864746,0.004467427264899015,19.016651153564453,19.016651153564453,17.771759033203125,0.11198694258928299
BraTS-GLI-00517-001,0.6259288191795349,18.317646026611328,0.014731109142303467,0.08195260912179947,0.006066214293241501,18.317646026611328,18.317646026611328,18.317646026611328,0.1213717833161354
BraTS-GLI-00540-000,0.5118464231491089,16.160707473754883,0.02420634776353836,0.11114013940095901,0.011402416042983532,16.160707473754883,16.160707473754883,16.160707473754883,0.15558388829231262
BraTS-GLI-00559-001,0.8171179294586182,19.346582412719727,0.01157545205205679,0.05923597142100334,0.005520682781934738,19.3646183013916,19.364620208740234,19.346582412719727,0.10758927464485168
BraTS-GLI-00580-000,0.9776161313056946,24.567638397216797,0.003493301570415497,0.043685268610715866,0.001354046049527824,24.567638397216797,24.56764030456543,24.56764030456543,0.059104159474372864
BraTS-GLI-00594-000,0.703586995601654,18.939210891723633,0.012766703963279724,0.07481340318918228,0.005692480131983757,18.939210891723633,18.939212799072266,18.939212799072266,0.11298984289169312
BraTS-GLI-00610-000,0.5291810035705566,17.124637603759766,0.019388142973184586,0.09711478650569916,0.008685060776770115,17.124637603759766,17.124637603759766,17.124637603759766,0.1392413079738617
BraTS-GLI-00642-000,0.8663864731788635,16.586036682128906,0.011058120988309383,0.07859081029891968,0.0036865801084786654,19.56318473815918,19.563186645507812,16.58582878112793,0.10515759885311127
BraTS-GLI-00650-000,0.7401114702224731,19.10439682006836,0.011796205304563046,0.06760270893573761,0.0065794698894023895,19.282575607299805,19.282577514648438,19.104398727416992,0.10861033946275711
BraTS-GLI-00655-001,0.8080273270606995,18.402544021606445,0.01444593258202076,0.08617555350065231,0.005700316280126572,18.402544021606445,18.402544021606445,18.402544021606445,0.12019123136997223
BraTS-GLI-00658-000,0.9829956889152527,18.755645751953125,0.004400072619318962,0.04652987793087959,0.0014273248380050063,23.565399169921875,23.56540298461914,18.753774642944336,0.06633304059505463
BraTS-GLI-00675-000,0.6547627449035645,17.052457809448242,0.019713059067726135,0.09731436520814896,0.0076118637807667255,17.052457809448242,17.052459716796875,17.052459716796875,0.14040319621562958
BraTS-GLI-00692-001,0.9503380656242371,17.473026275634766,0.009662795811891556,0.07223265618085861,0.0033423127606511116,20.148971557617188,20.148971557617188,17.473026275634766,0.09829951822757721
BraTS-GLI-00759-000,0.5935590863227844,15.537833213806152,0.027939366176724434,0.11945442110300064,0.011722788214683533,15.537833213806152,15.537834167480469,15.537834167480469,0.16715073585510254
BraTS-GLI-00789-000,0.5922478437423706,15.595812797546387,0.02756885252892971,0.11042892187833786,0.011476168408989906,15.595812797546387,15.595812797546387,15.595812797546387,0.16603870689868927
BraTS-GLI-00801-000,0.7820354104042053,17.114517211914062,0.007811317685991526,0.05339914187788963,0.0025489130057394505,21.072755813598633,21.072757720947266,17.114519119262695,0.08838165551424026
BraTS-GLI-00808-000,0.8009275197982788,19.733030319213867,0.010634006932377815,0.06901617348194122,0.0036570250522345304,19.733030319213867,19.733030319213867,19.733030319213867,0.103121317923069
BraTS-GLI-01043-000,0.6567651033401489,17.605865478515625,0.011906801722943783,0.07973042130470276,0.004227975383400917,19.242048263549805,19.242048263549805,17.605867385864258,0.10911829024553299
BraTS-GLI-01053-000,0.8003864884376526,18.8355712890625,0.013075032271444798,0.08445151895284653,0.004973923321813345,18.8355712890625,18.8355712890625,18.8355712890625,0.11434610933065414
BraTS-GLI-01055-000,0.6958730220794678,16.90741539001465,0.020382540300488472,0.09851358830928802,0.008477053605020046,16.90741539001465,16.90741729736328,16.90741729736328,0.14276742935180664
BraTS-GLI-01079-000,0.48078665137290955,14.43151569366455,0.03604527935385704,0.136387899518013,0.014528535306453705,14.43151569366455,14.43151569366455,14.43151569366455,0.18985594809055328
BraTS-GLI-01105-000,0.5345185399055481,17.167346954345703,0.019198408350348473,0.09413326531648636,0.007868547923862934,17.167346954345703,17.167346954345703,17.167346954345703,0.13855832815170288
BraTS-GLI-01109-000,0.8139234781265259,15.68690013885498,0.013508902862668037,0.0797090008854866,0.0046437690034508705,18.693798065185547,18.693798065185547,15.686712265014648,0.11622780561447144
BraTS-GLI-01121-000,0.969673216342926,17.594919204711914,0.009066172875463963,0.07732737809419632,0.003449775278568268,20.42576026916504,20.42576026916504,17.594921112060547,0.09521645307540894
BraTS-GLI-01132-000,0.5411747694015503,16.427513122558594,0.02276400662958622,0.10601988434791565,0.00849910732358694,16.427513122558594,16.427513122558594,16.427513122558594,0.1508774608373642
BraTS-GLI-01174-000,0.982763409614563,16.4014892578125,0.0041793822310864925,0.05570206418633461,0.0011540590785443783,23.78887939453125,23.78887939453125,16.40082550048828,0.06464814394712448
BraTS-GLI-01184-000,0.7957044839859009,19.424938201904297,0.011415794491767883,0.06354579329490662,0.0052049420773983,19.424938201904297,19.424938201904297,19.424938201904297,0.10684472322463989
BraTS-GLI-01190-000,0.9604002833366394,22.657901763916016,0.00254317419603467,0.03987113758921623,0.0008122174185700715,25.946237564086914,25.946237564086914,22.657901763916016,0.050429895520210266
BraTS-GLI-01191-000,0.6723384261131287,18.31866455078125,0.014727647416293621,0.08601464331150055,0.00553854089230299,18.31866455078125,18.318666458129883,18.318666458129883,0.1213575154542923
BraTS-GLI-01215-000,0.8815407156944275,18.944963455200195,0.012749803252518177,0.07783627510070801,0.005421381443738937,18.944963455200195,18.944965362548828,18.944965362548828,0.1129150241613388
BraTS-GLI-01229-000,0.9598667025566101,16.36229133605957,0.011086300015449524,0.08276602625846863,0.003794859629124403,19.552133560180664,19.552133560180664,16.362293243408203,0.10529150068759918
BraTS-GLI-01231-000,0.9526123404502869,19.654409408569336,0.0048810685984790325,0.050109706819057465,0.002598003949970007,23.114849090576172,23.114850997924805,19.65441131591797,0.06986464560031891
BraTS-GLI-01245-000,0.94305819272995,19.09128189086914,0.00629282183945179,0.05716642364859581,0.002037027617916465,22.01154327392578,22.011545181274414,19.088985443115234,0.0793273076415062
BraTS-GLI-01263-000,0.9499029517173767,18.48622703552246,0.007398907095193863,0.0657230019569397,0.003533170558512211,21.30832290649414,21.308324813842773,18.486225128173828,0.08601690083742142
BraTS-GLI-01269-000,0.7559904456138611,19.282018661499023,0.011797720566391945,0.07048988342285156,0.004487887024879456,19.282018661499023,19.282018661499023,19.282018661499023,0.10861731320619583
BraTS-GLI-01282-000,0.8645856976509094,17.134597778320312,0.008150679990649223,0.06295915693044662,0.002644345397129655,20.888059616088867,20.8880615234375,17.134599685668945,0.09028111398220062
BraTS-GLI-01288-000,0.5010620355606079,17.8356990814209,0.016460010781884193,0.09169774502515793,0.007681829389184713,17.8356990814209,17.8356990814209,17.8356990814209,0.12829656898975372
BraTS-GLI-01313-000,0.8682966828346252,19.890178680419922,0.003844583872705698,0.046349067240953445,0.0011408162536099553,24.151506423950195,24.151506423950195,19.890010833740234,0.062004707753658295
BraTS-GLI-01330-000,0.6897431015968323,17.910083770751953,0.016180479899048805,0.079582080245018,0.006591129116714001,17.910083770751953,17.910085678100586,17.910085678100586,0.12720251083374023
BraTS-GLI-01332-000,0.959924042224884,20.196762084960938,0.005098344758152962,0.05512291193008423,0.0021678695920854807,22.92570686340332,22.925708770751953,20.190937042236328,0.07140269130468369
BraTS-GLI-01357-000,0.9140274524688721,17.812091827392578,0.009626755490899086,0.0721791461110115,0.003357016248628497,20.165199279785156,20.165199279785156,17.812095642089844,0.09811603277921677
BraTS-GLI-01389-000,0.8828968405723572,15.927457809448242,0.010353866033256054,0.07039710134267807,0.00332321017049253,19.848974227905273,19.848974227905273,15.927457809448242,0.10175395011901855
BraTS-GLI-01425-000,0.6925572752952576,18.9688663482666,0.012679827399551868,0.07472115010023117,0.004912020638585091,18.9688663482666,18.9688663482666,18.9688663482666,0.11260473728179932
BraTS-GLI-01439-000,0.8363651633262634,18.41663932800293,0.005877417046576738,0.05236954241991043,0.00173091737087816,22.30813217163086,22.308135986328125,18.416641235351562,0.07666431367397308
BraTS-GLI-01447-000,0.990843653678894,18.50473976135254,0.0012889652280136943,0.027636200189590454,0.00038568710442632437,28.897586822509766,28.8975887298584,18.47590446472168,0.03590216115117073
BraTS-GLI-01453-000,0.8215169906616211,16.546419143676758,0.01810375042259693,0.09160555899143219,0.0067093390971422195,17.422313690185547,17.42231559753418,16.54642105102539,0.13455018401145935
BraTS-GLI-01498-000,0.9364984631538391,18.698652267456055,0.0034356368705630302,0.04463420435786247,0.0010928624542430043,24.63992691040039,24.639928817749023,18.698652267456055,0.05861430615186691
BraTS-GLI-01499-000,0.6248984932899475,16.661151885986328,0.02157171443104744,0.08631429821252823,0.00979197584092617,16.661151885986328,16.66115379333496,16.66115379333496,0.1468731164932251
BraTS-GLI-01516-000,0.677652895450592,17.283960342407227,0.01868976466357708,0.08457601070404053,0.00923133734613657,17.283960342407227,17.28396224975586,17.28396224975586,0.1367105096578598
BraTS-GLI-01517-000,0.9779313802719116,18.429182052612305,0.0027967363130301237,0.03792949393391609,0.0009661433286964893,25.533483505249023,25.533485412597656,18.42918586730957,0.05288418009877205
BraTS-GLI-01665-000,0.8235427737236023,18.160587310791016,0.015273592434823513,0.07213611900806427,0.0073035466484725475,18.160587310791016,18.160587310791016,18.160587310791016,0.12358637899160385
