pipeline,label,checkpoint_step,weights,ensemble_method,ensemble_size,case_count,joint_rank,simultaneous_metric_wins,ssim_mean,ssim_sd,ssim_wins,psnr_mean,psnr_sd,psnr_wins,mse_mean,mse_sd,mse_wins
fixed,Fixed mask,180000,EMA 0.9999,mean,5,75,2.551111111111111,5,0.7560855805873871,0.16147736584065286,6,17.845065841674806,1.7498324351632437,5,0.013642368858369688,0.00806471736529136,5
random,Random augmentation,290000,EMA 0.9999,mean,5,75,2.0755555555555554,15,0.7784017539024353,0.1398254436880079,21,18.236417821248374,2.1876479050926276,18,0.012515369021178533,0.007175880635997728,18
weighted,Weighted mixture,200000,EMA 0.9999,mean,5,75,1.3733333333333333,46,0.7971522466341654,0.13083929802948627,48,19.184211959838866,1.8028942805474546,52,0.009873885589962205,0.0053585174038718155,52
