metric,first_pipeline,second_pipeline,contrast,direction,mean_improvement,bootstrap_ci_low,bootstrap_ci_high,bootstrap_samples,bootstrap_seed,wins,ties,losses,effect_size_dz,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm_within_metric
ssim,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.02231617331504822,0.012974901864926022,0.03157508105039596,100000,2026,53,0,22,0.5393095927994753,635.0,3.0241531804414955e-05,3.0241531804414955e-05
ssim,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,0.04106666604677836,0.032392179131507874,0.05003045570850372,100000,2026,66,0,9,1.052272194771305,130.0,8.012665921555562e-12,2.4037997764666686e-11
ssim,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.018750492731730142,0.01273308515548706,0.024889359017213186,100000,2026,54,0,21,0.6992467953689538,486.0,7.106043702570131e-07,1.4212087405140262e-06
psnr,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.3913519795735677,0.027372439066569065,0.7422715431849158,100000,2026,49,0,26,0.24647364357546098,959.0,0.013865100673075474,0.013865100673075474
psnr,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,1.3391461181640625,1.0772563079198203,1.6077663860321045,100000,2026,66,0,9,1.1370193713994106,115.0,4.595879546821081e-12,1.3787638640463245e-11
psnr,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.9477941385904948,0.655919308344523,1.264882962544759,100000,2026,57,0,18,0.7033697929073639,390.0,4.6192582626453624e-08,9.238516525290725e-08
mse,fixed,random,Random augmentation vs Fixed mask,Fixed mask minus Random augmentation (MSE reduction),0.0011269998371911546,0.00013680382012777652,0.0021191035260756793,100000,2026,49,0,26,0.2568962007034014,977.0,0.01799653299614974,0.01799653299614974
mse,fixed,weighted,Weighted mixture vs Fixed mask,Fixed mask minus Weighted mixture (MSE reduction),0.0037684832684074837,0.0028807670398770524,0.004743632156518287,100000,2026,66,0,9,0.9096182435211444,106.0,3.2827679587041176e-12,9.848303876112352e-12
mse,random,weighted,Weighted mixture vs Random augmentation,Random augmentation minus Weighted mixture (MSE reduction),0.002641483431216329,0.0018777751691328982,0.0034472061439688928,100000,2026,57,0,18,0.7621289065630147,360.0,1.868094816351734e-08,3.736189632703468e-08
