pipeline,label,checkpoint_step,weights,ensemble_method,ensemble_size,case_count,joint_rank,simultaneous_metric_wins,ssim_mean,ssim_sd,ssim_wins,psnr_mean,psnr_sd,psnr_wins,mse_mean,mse_sd,mse_wins
fixed,Fixed mask,180000,EMA 0.9999,mean,5,64,2.5364583333333335,5,0.7702779327519238,0.16090230813048387,6,17.930623456835747,1.7885031343090458,5,0.012762104839566746,0.007742701043467172,5
random,Random augmentation,290000,EMA 0.9999,mean,5,64,2.0572916666666665,14,0.7911140760406852,0.13779090476404932,19,18.330832809209824,2.2523909171060295,17,0.011663512269478815,0.006786387633589701,17
weighted,Weighted mixture,200000,EMA 0.9999,mean,5,64,1.40625,37,0.8100998504087329,0.1287036783263153,39,19.268758058547974,1.8599001729698335,42,0.009219920317264041,0.005179180407053761,42
