metric,first_pipeline,second_pipeline,contrast,direction,mean_improvement,bootstrap_ci_low,bootstrap_ci_high,bootstrap_samples,bootstrap_seed,wins,ties,losses,effect_size_dz,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm_within_metric
ssim,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.020836143288761377,0.010530385642778129,0.031066738185472786,100000,2026,44,0,20,0.4956479027070117,505.0,0.000346478516806577,0.000346478516806577
ssim,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,0.03982191765680909,0.03034045812673867,0.04961211490444839,100000,2026,55,0,9,1.0079019943720007,120.0,7.626889064187729e-10,2.288066719256319e-09
ssim,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.018985774368047714,0.012699101818725467,0.025356182525865727,100000,2026,45,0,19,0.7259943894374203,346.0,3.4651194410982408e-06,6.9302388821964815e-06
psnr,fixed,random,Random augmentation vs Fixed mask,Random augmentation minus Fixed mask,0.40020935237407684,-0.010987268760800346,0.7948666207492348,100000,2026,42,0,22,0.24158732839568756,704.0,0.02463992613945145,0.02463992613945145
psnr,fixed,weighted,Weighted mixture vs Fixed mask,Weighted mixture minus Fixed mask,1.3381346017122269,1.0445128295570612,1.6392298568040131,100000,2026,56,0,8,1.0974864144272345,95.0,2.6208523145230057e-10,7.862556943569017e-10
psnr,random,weighted,Weighted mixture vs Random augmentation,Weighted mixture minus Random augmentation,0.93792524933815,0.6131344430148602,1.2938296329230068,100000,2026,47,0,17,0.6686620500946241,306.0,9.171554899580113e-07,1.8343109799160226e-06
mse,fixed,random,Random augmentation vs Fixed mask,Fixed mask minus Random augmentation (MSE reduction),0.0010985925700879307,8.040788056860038e-05,0.002106836890402519,100000,2026,42,0,22,0.2652883501246809,701.0,0.02338631061090628,0.02338631061090628
mse,fixed,weighted,Weighted mixture vs Fixed mask,Fixed mask minus Weighted mixture (MSE reduction),0.003542184522302705,0.0026396789388400065,0.0045362463978563024,100000,2026,56,0,8,0.9119171616131436,88.0,1.9338465896435903e-10,5.801539768930771e-10
mse,random,weighted,Weighted mixture vs Random augmentation,Random augmentation minus Weighted mixture (MSE reduction),0.002443591952214774,0.0016743261918918506,0.0032620130956729555,100000,2026,47,0,17,0.7507400703031611,282.0,3.996412240033886e-07,7.992824480067772e-07
