case,ssim,psnr,mse,mae,msle,psnr_01,psnr_01_eps,psnr_eps,rmse
BraTS-GLI-00512-000,0.8180264234542847,19.41771125793457,0.008584982715547085,0.06813832372426987,0.003035259433090687,20.66260528564453,20.66260528564453,19.417713165283203,0.09265518188476562
BraTS-GLI-00517-001,0.6699591875076294,18.83268165588379,0.013083734549582005,0.0786852091550827,0.005329309497028589,18.83268165588379,18.83268165588379,18.83268165588379,0.11438415199518204
BraTS-GLI-00540-000,0.5691983103752136,17.22679901123047,0.018937386572360992,0.09605054557323456,0.008947622962296009,17.22679901123047,17.22679901123047,17.22679901123047,0.1376131772994995
BraTS-GLI-00559-001,0.8277215957641602,20.095495223999023,0.009742413647472858,0.05094223469495773,0.004756769631057978,20.11333465576172,20.11333465576172,20.095294952392578,0.09870366752147675
BraTS-GLI-00580-000,0.9782153367996216,25.14556312561035,0.00305804330855608,0.0368720181286335,0.0014044576091691852,25.14556312561035,25.145565032958984,25.145565032958984,0.05529957637190819
BraTS-GLI-00594-000,0.7470870018005371,19.93364715576172,0.010153954848647118,0.06686896830797195,0.0045122201554477215,19.93364715576172,19.93364715576172,19.93364715576172,0.10076683759689331
BraTS-GLI-00610-000,0.6428713202476501,19.385669708251953,0.011519482359290123,0.07431693375110626,0.004990147426724434,19.385669708251953,19.385669708251953,19.385669708251953,0.1073288545012474
BraTS-GLI-00642-000,0.8782971501350403,17.227785110473633,0.009538624435663223,0.06929320842027664,0.0032965573482215405,20.205142974853516,20.205142974853516,17.227785110473633,0.09766588360071182
BraTS-GLI-00650-000,0.7947859168052673,20.822790145874023,0.00794150959700346,0.05785905942320824,0.0036990265361964703,21.00096893310547,21.00096893310547,20.822792053222656,0.08911515027284622
BraTS-GLI-00655-001,0.8717793822288513,20.444181442260742,0.009027795866131783,0.06804611533880234,0.0035675442777574062,20.444181442260742,20.444183349609375,20.444183349609375,0.09501471370458603
BraTS-GLI-00658-000,0.9889962077140808,20.392671585083008,0.003016964066773653,0.040967557579278946,0.0009488611831329763,25.204296112060547,25.20429801940918,20.39267349243164,0.05492689833045006
BraTS-GLI-00675-000,0.7061842083930969,17.625246047973633,0.017277279868721962,0.08638413995504379,0.0065723140724003315,17.625246047973633,17.625246047973633,17.625246047973633,0.1314430683851242
BraTS-GLI-00692-001,0.9634402394294739,19.52439308166504,0.006025122012943029,0.05852304399013519,0.002064367523416877,22.200340270996094,22.200340270996094,19.524394989013672,0.07762166112661362
BraTS-GLI-00759-000,0.7170486450195312,18.33831214904785,0.014661168679594994,0.0819401890039444,0.006274852901697159,18.33831214904785,18.338314056396484,18.338314056396484,0.12108331173658371
BraTS-GLI-00789-000,0.6684552431106567,17.243906021118164,0.01886293664574623,0.09412600100040436,0.008175672963261604,17.243906021118164,17.243907928466797,17.243907928466797,0.1373424082994461
BraTS-GLI-00801-000,0.8545222282409668,20.196481704711914,0.0038417393807321787,0.03955155611038208,0.0012574527645483613,24.154720306396484,24.154720306396484,20.196483612060547,0.061981767416000366
BraTS-GLI-00808-000,0.8679020404815674,24.85444450378418,0.0032700584270060062,0.03619564697146416,0.0012205333914607763,24.85444450378418,24.854446411132812,24.854446411132812,0.05718442425131798
BraTS-GLI-01043-000,0.717440664768219,18.7744083404541,0.009097893722355366,0.06891313195228577,0.0033048056066036224,20.41058921813965,20.410593032836914,18.774410247802734,0.09538288414478302
BraTS-GLI-01053-000,0.8758317232131958,20.868112564086914,0.008188201114535332,0.06639138609170914,0.0033312852028757334,20.868112564086914,20.868114471435547,20.868114471435547,0.09048867970705032
BraTS-GLI-01055-000,0.738519549369812,17.076353073120117,0.019604897126555443,0.09367427229881287,0.007932976819574833,17.076353073120117,17.07635498046875,17.07635498046875,0.14001747965812683
BraTS-GLI-01079-000,0.5569624304771423,16.940303802490234,0.020228775218129158,0.09527689218521118,0.007819290272891521,16.940303802490234,16.940303802490234,16.940303802490234,0.142227903008461
BraTS-GLI-01105-000,0.6472702026367188,18.82978630065918,0.013092461973428726,0.07749582082033157,0.0054413327015936375,18.82978630065918,18.82978630065918,18.82978630065918,0.11442229896783829
BraTS-GLI-01109-000,0.8269158005714417,16.522380828857422,0.011196078732609749,0.0721137672662735,0.003922261763364077,19.509340286254883,19.509340286254883,16.502254486083984,0.10581152886152267
BraTS-GLI-01121-000,0.9805738925933838,19.86001968383789,0.005381631199270487,0.057528212666511536,0.0021218948531895876,22.690860748291016,22.690860748291016,19.860021591186523,0.07335960119962692
BraTS-GLI-01132-000,0.6432328820228577,18.537349700927734,0.014004413969814777,0.08391348272562027,0.005291121080517769,18.537349700927734,18.537351608276367,18.537351608276367,0.11834024637937546
BraTS-GLI-01174-000,0.985335648059845,18.972135543823242,0.002311968943104148,0.035981085151433945,0.0006313398480415344,26.360179901123047,26.360179901123047,18.972126007080078,0.04808293655514717
BraTS-GLI-01184-000,0.7850931286811829,19.278499603271484,0.011807282455265522,0.06293541193008423,0.005171833094209433,19.278499603271484,19.278499603271484,19.278499603271484,0.10866132378578186
BraTS-GLI-01190-000,0.961737871170044,22.8113956451416,0.0024548599030822515,0.035829272121191025,0.0007879219483584166,26.0997314453125,26.0997314453125,22.8113956451416,0.04954654350876808
BraTS-GLI-01191-000,0.7323199510574341,19.643264770507812,0.010856094770133495,0.07812035083770752,0.003962766379117966,19.643264770507812,19.643264770507812,19.643264770507812,0.1041925847530365
BraTS-GLI-01215-000,0.8864200711250305,18.63547134399414,0.0136915547773242,0.08204459398984909,0.005732606630772352,18.63547134399414,18.63547134399414,18.63547134399414,0.1170109212398529
BraTS-GLI-01229-000,0.9699362516403198,18.11260986328125,0.007409007288515568,0.06546112149953842,0.0025863361079245806,21.302398681640625,21.302398681640625,18.112560272216797,0.08607558906078339
BraTS-GLI-01231-000,0.9442585110664368,19.059661865234375,0.005597442388534546,0.05513915419578552,0.002975957002490759,22.52010154724121,22.520103454589844,19.059661865234375,0.07481605559587479
BraTS-GLI-01245-000,0.9584078788757324,21.245023727416992,0.003830855479463935,0.0450269989669323,0.0012548292288556695,24.167041778564453,24.167041778564453,21.24448013305664,0.06189390644431114
BraTS-GLI-01263-000,0.9506711363792419,18.97908592224121,0.006605132482945919,0.06251223385334015,0.0032742456533014774,21.801183700561523,21.801185607910156,18.979084014892578,0.08127196878194809
BraTS-GLI-01269-000,0.7937828302383423,21.360187530517578,0.007311074063181877,0.05759191885590553,0.002822424052283168,21.360187530517578,21.360187530517578,21.360187530517578,0.08550482243299484
BraTS-GLI-01282-000,0.8927006721496582,18.46831703186035,0.005995878949761391,0.054278451949357986,0.001966914627701044,22.221471786499023,22.221471786499023,18.46800994873047,0.07743306457996368
BraTS-GLI-01288-000,0.5719595551490784,19.159975051879883,0.01213395781815052,0.0781976729631424,0.005343886092305183,19.159975051879883,19.159975051879883,19.159975051879883,0.11015424132347107
BraTS-GLI-01313-000,0.8856452703475952,21.317873001098633,0.002767628524452448,0.03764694556593895,0.0008370100404135883,25.578920364379883,25.578920364379883,21.317426681518555,0.05260825529694557
BraTS-GLI-01330-000,0.726885199546814,18.728347778320312,0.013401857577264309,0.07001912593841553,0.00572223449125886,18.728347778320312,18.728349685668945,18.728349685668945,0.11576639115810394
BraTS-GLI-01332-000,0.9686536192893982,20.928579330444336,0.004309067036956549,0.053481873124837875,0.0017989241750910878,23.656166076660156,23.65616798400879,20.921398162841797,0.06564348191022873
BraTS-GLI-01357-000,0.9400706887245178,20.83303451538086,0.0048015969805419445,0.053057555109262466,0.001688098651356995,23.186141967773438,23.186141967773438,20.833036422729492,0.0692935585975647
BraTS-GLI-01389-000,0.8709595799446106,16.624204635620117,0.008819171227514744,0.05817769840359688,0.0027775876224040985,20.54572105407715,20.54572296142578,16.624204635620117,0.09391044080257416
BraTS-GLI-01425-000,0.705239474773407,18.556604385375977,0.01394246518611908,0.07553025335073471,0.005552871618419886,18.556604385375977,18.556604385375977,18.556604385375977,0.11807821691036224
BraTS-GLI-01439-000,0.8349835276603699,18.337451934814453,0.005985569674521685,0.04975058138370514,0.0017666976200416684,22.228944778442383,22.228944778442383,18.337451934814453,0.07736646384000778
BraTS-GLI-01447-000,0.990310788154602,19.75775146484375,0.0009659287752583623,0.02374260313808918,0.0002899615792557597,30.15054702758789,30.150548934936523,19.728866577148438,0.03107939474284649
BraTS-GLI-01453-000,0.8396918177604675,17.669322967529297,0.01397907268255949,0.08021219074726105,0.005161636509001255,18.545215606689453,18.545215606689453,17.669322967529297,0.11823312938213348
BraTS-GLI-01498-000,0.9318241477012634,18.911476135253906,0.0032713336404412985,0.04116008058190346,0.0010566855780780315,24.852750778198242,24.852752685546875,18.911474227905273,0.057195574045181274
BraTS-GLI-01499-000,0.7264756560325623,20.865625381469727,0.008192894980311394,0.058248188346624374,0.0037579359486699104,20.865625381469727,20.86562728881836,20.86562728881836,0.09051461517810822
BraTS-GLI-01516-000,0.7403073310852051,17.840843200683594,0.01644052565097809,0.0816786140203476,0.0077954307198524475,17.840843200683594,17.840843200683594,17.840843200683594,0.12822061777114868
BraTS-GLI-01517-000,0.9826653599739075,19.666744232177734,0.002103271894156933,0.03495847061276436,0.00072692014509812,26.77104377746582,26.771045684814453,19.666746139526367,0.045861441642045975
BraTS-GLI-01665-000,0.8636106252670288,19.385154724121094,0.011520850472152233,0.06828828901052475,0.004975304007530212,19.385154724121094,19.385154724121094,19.385154724121094,0.10733522474765778
